dead_token_rate,entropy_bits,group,top_tokens,total_tokens,transition_entropy_bits,unique_token_rate,unique_tokens
0.4827880859375,11.460725482171734,fr:clean,1108 1124 3316 3297 3185 7397 3301 3312 3828 3556,12087,13.058236628272148,0.5172119140625,4237
0.6138916015625,11.023227281075737,zh:clean,3234 3238 3303 3299 3830 3298 7398 3318 3302 3827,7321,12.12289906624612,0.3861083984375,3163
0.478515625,11.470401043154,fr:gaussian_25db,1108 1124 3316 7397 3232 3297 3828 3556 3312 3185,12087,13.053443192502446,0.521484375,4272
0.6162109375,11.01607344238607,zh:gaussian_25db,3234 3238 3830 3299 3303 3298 7398 3318 7922 3302,7321,12.124993521436158,0.3837890625,3144
0.4725341796875,11.506411938444073,fr:reverb_small_room,1124 1108 3297 3316 7397 3185 3312 3828 3556 3232,12087,13.075129601105825,0.5274658203125,4321
0.6185302734375,11.008846875712212,zh:reverb_small_room,3234 3238 3830 3303 3299 3298 7398 3318 3827 7922,7321,12.121587433638485,0.3814697265625,3125
0.4305419921875,11.748997854438528,fr:babble_4spk_10db,3296 1124 3236 3301 3539 3297 3234 3556 3316 1473,12087,13.300006414626113,0.5694580078125,4665
0.6029052734375,11.093017527820018,zh:babble_4spk_10db,3234 3238 3830 3299 3303 3298 3302 7398 3827 7926,7321,12.228743582039725,0.3970947265625,3253
0.4322509765625,11.724442659535864,fr:competing_speech_16db,1124 1108 3297 3537 3301 3312 3556 3316 3296 7396,12087,13.312039307294743,0.5677490234375,4651
0.604248046875,11.096180567697886,zh:competing_speech_16db,3234 3238 3830 3303 3298 3299 7398 3827 3318 7394,7321,12.203570694934578,0.395751953125,3242
