kl_bits,left,right
3.677450701534433,fr:babble_4spk_10db,fr:clean
2.6781950246325454,fr:babble_4spk_10db,fr:competing_speech_16db
3.637520647128386,fr:babble_4spk_10db,fr:gaussian_25db
3.582476829320821,fr:babble_4spk_10db,fr:reverb_small_room
10.370779046983959,fr:babble_4spk_10db,zh:babble_4spk_10db
10.77961908069146,fr:babble_4spk_10db,zh:clean
10.242679146429403,fr:babble_4spk_10db,zh:competing_speech_16db
10.842143576255026,fr:babble_4spk_10db,zh:gaussian_25db
10.890891663117786,fr:babble_4spk_10db,zh:reverb_small_room
2.4555151525253414,fr:clean,fr:babble_4spk_10db
1.602752152465206,fr:clean,fr:competing_speech_16db
1.1240102307733173,fr:clean,fr:gaussian_25db
1.6046331104843308,fr:clean,fr:reverb_small_room
12.945129381497855,fr:clean,zh:babble_4spk_10db
13.018120601918296,fr:clean,zh:clean
12.531493847033477,fr:clean,zh:competing_speech_16db
13.21796156663083,fr:clean,zh:gaussian_25db
13.28861757205911,fr:clean,zh:reverb_small_room
2.589297723458724,fr:competing_speech_16db,fr:babble_4spk_10db
2.464871413851039,fr:competing_speech_16db,fr:clean
2.6160554706908687,fr:competing_speech_16db,fr:gaussian_25db
2.7755528394965077,fr:competing_speech_16db,fr:reverb_small_room
11.357453089484338,fr:competing_speech_16db,zh:babble_4spk_10db
11.720079440877951,fr:competing_speech_16db,zh:clean
11.209964980237753,fr:competing_speech_16db,zh:competing_speech_16db
11.82956223560463,fr:competing_speech_16db,zh:gaussian_25db
11.900025409684876,fr:competing_speech_16db,zh:reverb_small_room
2.5215410396414786,fr:gaussian_25db,fr:babble_4spk_10db
1.1846835679095198,fr:gaussian_25db,fr:clean
1.7645595739632638,fr:gaussian_25db,fr:competing_speech_16db
1.7538751997487885,fr:gaussian_25db,fr:reverb_small_room
12.969214602185106,fr:gaussian_25db,zh:babble_4spk_10db
13.105021534080326,fr:gaussian_25db,zh:clean
12.614276589802126,fr:gaussian_25db,zh:competing_speech_16db
13.359135713335908,fr:gaussian_25db,zh:gaussian_25db
13.333249645098975,fr:gaussian_25db,zh:reverb_small_room
2.585009471589661,fr:reverb_small_room,fr:babble_4spk_10db
1.7692323910566208,fr:reverb_small_room,fr:clean
2.0137608778894065,fr:reverb_small_room,fr:competing_speech_16db
1.8722344316299586,fr:reverb_small_room,fr:gaussian_25db
12.819302498831068,fr:reverb_small_room,zh:babble_4spk_10db
12.940884373552844,fr:reverb_small_room,zh:clean
12.378840964750916,fr:reverb_small_room,zh:competing_speech_16db
13.107132761121889,fr:reverb_small_room,zh:gaussian_25db
13.10216294617966,fr:reverb_small_room,zh:reverb_small_room
6.167901108080551,zh:babble_4spk_10db,fr:babble_4spk_10db
9.885937095881696,zh:babble_4spk_10db,fr:clean
7.071340567097475,zh:babble_4spk_10db,fr:competing_speech_16db
9.78447812988804,zh:babble_4spk_10db,fr:gaussian_25db
9.224255129845151,zh:babble_4spk_10db,fr:reverb_small_room
2.7364959978400765,zh:babble_4spk_10db,zh:clean
2.61846719461115,zh:babble_4spk_10db,zh:competing_speech_16db
2.742797687287028,zh:babble_4spk_10db,zh:gaussian_25db
3.0717344759643552,zh:babble_4spk_10db,zh:reverb_small_room
6.431487297364739,zh:clean,fr:babble_4spk_10db
9.989203720056217,zh:clean,fr:clean
7.408336106124596,zh:clean,fr:competing_speech_16db
9.92859350627903,zh:clean,fr:gaussian_25db
9.351303091840759,zh:clean,fr:reverb_small_room
2.35330951078539,zh:clean,zh:babble_4spk_10db
1.5739883969563147,zh:clean,zh:competing_speech_16db
0.9132412016744905,zh:clean,zh:gaussian_25db
1.7264559206693413,zh:clean,zh:reverb_small_room
6.338170056077441,zh:competing_speech_16db,fr:babble_4spk_10db
9.904207452673667,zh:competing_speech_16db,fr:clean
7.217389821289277,zh:competing_speech_16db,fr:competing_speech_16db
9.879710531448337,zh:competing_speech_16db,fr:gaussian_25db
9.21674770599827,zh:competing_speech_16db,fr:reverb_small_room
2.5699911631350645,zh:competing_speech_16db,zh:babble_4spk_10db
1.8669424040431946,zh:competing_speech_16db,zh:clean
1.9151616325836744,zh:competing_speech_16db,zh:gaussian_25db
2.471001357568422,zh:competing_speech_16db,zh:reverb_small_room
6.440517324082642,zh:gaussian_25db,fr:babble_4spk_10db
10.067094920101374,zh:gaussian_25db,fr:clean
7.455045518501797,zh:gaussian_25db,fr:competing_speech_16db
10.0138058096127,zh:gaussian_25db,fr:gaussian_25db
9.378957178858672,zh:gaussian_25db,fr:reverb_small_room
2.440595231310856,zh:gaussian_25db,zh:babble_4spk_10db
0.8663715047565251,zh:gaussian_25db,zh:clean
1.688835477510963,zh:gaussian_25db,zh:competing_speech_16db
1.8492984859230897,zh:gaussian_25db,zh:reverb_small_room
6.367191896660644,zh:reverb_small_room,fr:babble_4spk_10db
9.975771626501952,zh:reverb_small_room,fr:clean
7.327995147658898,zh:reverb_small_room,fr:competing_speech_16db
9.856145695571907,zh:reverb_small_room,fr:gaussian_25db
9.324234750444834,zh:reverb_small_room,fr:reverb_small_room
2.5952691896550926,zh:reverb_small_room,zh:babble_4spk_10db
1.6266708902251437,zh:reverb_small_room,zh:clean
2.092762185814333,zh:reverb_small_room,zh:competing_speech_16db
1.7379250762852005,zh:reverb_small_room,zh:gaussian_25db
