aggregation,audio_index,edit_distance,mismatch_rate,policy,region,tokens,ued
majority,2,210,0.4262948207171315,stride_15s,boundary_pm_5s,502,0.41832669322709165
majority,2,208,0.5653333333333334,stride_15s,start_0_5s,375,0.5546666666666666
majority,2,407,0.3264,stride_15s,middle_5_25s,1250,0.3256
majority,2,0,0.0,stride_15s,end_25_30s,250,0.0
center,2,782,0.41973333333333335,stride_15s,overall,1875,0.41706666666666664
center,2,44,0.9,stride_15s,boundary_pm_0.5s,50,0.88
center,2,93,0.9215686274509803,stride_15s,boundary_pm_1s,102,0.9117647058823529
center,2,186,0.9356435643564357,stride_15s,boundary_pm_2s,202,0.9207920792079208
center,2,424,0.852589641434263,stride_15s,boundary_pm_5s,502,0.8446215139442231
center,2,208,0.5653333333333334,stride_15s,start_0_5s,375,0.5546666666666666
center,2,360,0.2888,stride_15s,middle_5_25s,1250,0.288
center,2,214,0.856,stride_15s,end_25_30s,250,0.856
first,2,844,0.45386666666666664,stride_5s,overall,1875,0.45013333333333333
first,2,26,0.52,stride_5s,boundary_pm_0.5s,50,0.52
first,2,52,0.5098039215686274,stride_5s,boundary_pm_1s,102,0.5098039215686274
first,2,94,0.4752475247524752,stride_5s,boundary_pm_2s,202,0.46534653465346537
first,2,211,0.42828685258964144,stride_5s,boundary_pm_5s,502,0.4203187250996016
first,2,209,0.568,stride_5s,start_0_5s,375,0.5573333333333333
first,2,635,0.5104,stride_5s,middle_5_25s,1250,0.508
first,2,0,0.0,stride_5s,end_25_30s,250,0.0
majority,2,856,0.4597333333333333,stride_5s,overall,1875,0.45653333333333335
majority,2,30,0.6,stride_5s,boundary_pm_0.5s,50,0.6
majority,2,62,0.6078431372549019,stride_5s,boundary_pm_1s,102,0.6078431372549019
majority,2,128,0.6435643564356436,stride_5s,boundary_pm_2s,202,0.6336633663366337
majority,2,273,0.5517928286852589,stride_5s,boundary_pm_5s,502,0.5438247011952191
majority,2,179,0.488,stride_5s,start_0_5s,375,0.47733333333333333
majority,2,585,0.4696,stride_5s,middle_5_25s,1250,0.468
majority,2,92,0.368,stride_5s,end_25_30s,250,0.368
center,2,1048,0.5632,stride_5s,overall,1875,0.5589333333333333
center,2,44,0.9,stride_5s,boundary_pm_0.5s,50,0.88
center,2,93,0.9215686274509803,stride_5s,boundary_pm_1s,102,0.9117647058823529
center,2,186,0.9356435643564357,stride_5s,boundary_pm_2s,202,0.9207920792079208
center,2,418,0.8426294820717132,stride_5s,boundary_pm_5s,502,0.8326693227091634
center,2,204,0.5546666666666666,stride_5s,start_0_5s,375,0.544
center,2,632,0.508,stride_5s,middle_5_25s,1250,0.5056
center,2,212,0.852,stride_5s,end_25_30s,250,0.848
first,2,471,0.35547169811320756,stride_1s,overall,1325,0.35547169811320756
first,2,13,0.52,stride_1s,boundary_pm_0.5s,25,0.52
first,2,26,0.5098039215686274,stride_1s,boundary_pm_1s,51,0.5098039215686274
first,2,51,0.504950495049505,stride_1s,boundary_pm_2s,101,0.504950495049505
first,2,110,0.43824701195219123,stride_1s,boundary_pm_5s,251,0.43824701195219123
first,2,109,0.436,stride_1s,start_0_5s,250,0.436
first,2,362,0.38105263157894737,stride_1s,middle_5_25s,950,0.38105263157894737
first,2,0,0.0,stride_1s,end_25_30s,125,0.0
majority,2,719,0.5426415094339623,stride_1s,overall,1325,0.5426415094339623
majority,2,19,0.76,stride_1s,boundary_pm_0.5s,25,0.76
majority,2,40,0.7843137254901961,stride_1s,boundary_pm_1s,51,0.7843137254901961
majority,2,86,0.8514851485148515,stride_1s,boundary_pm_2s,101,0.8514851485148515
majority,2,173,0.6892430278884463,stride_1s,boundary_pm_5s,251,0.6892430278884463
majority,2,97,0.388,stride_1s,start_0_5s,250,0.388
majority,2,536,0.5642105263157895,stride_1s,middle_5_25s,950,0.5642105263157895
majority,2,86,0.688,stride_1s,end_25_30s,125,0.688
center,2,689,0.5230188679245283,stride_1s,overall,1325,0.52
center,2,21,0.84,stride_1s,boundary_pm_0.5s,25,0.84
center,2,44,0.8627450980392157,stride_1s,boundary_pm_1s,51,0.8627450980392157
center,2,89,0.8910891089108911,stride_1s,boundary_pm_2s,101,0.8811881188118812
center,2,190,0.7689243027888446,stride_1s,boundary_pm_5s,251,0.7569721115537849
center,2,85,0.348,stride_1s,start_0_5s,250,0.34
center,2,500,0.5273684210526316,stride_1s,middle_5_25s,950,0.5263157894736842
center,2,105,0.84,stride_1s,end_25_30s,125,0.84
first,3,597,0.31893333333333335,stride_15s,overall,1875,0.3184
first,3,22,0.44,stride_15s,boundary_pm_0.5s,50,0.44
first,3,37,0.3627450980392157,stride_15s,boundary_pm_1s,102,0.3627450980392157
first,3,73,0.3613861386138614,stride_15s,boundary_pm_2s,202,0.3613861386138614
first,3,194,0.3884462151394422,stride_15s,boundary_pm_5s,502,0.38645418326693226
first,3,193,0.5173333333333333,stride_15s,start_0_5s,375,0.5146666666666667
first,3,404,0.3232,stride_15s,middle_5_25s,1250,0.3232
first,3,0,0.0,stride_15s,end_25_30s,250,0.0
majority,3,597,0.31893333333333335,stride_15s,overall,1875,0.3184
majority,3,22,0.44,stride_15s,boundary_pm_0.5s,50,0.44
majority,3,37,0.3627450980392157,stride_15s,boundary_pm_1s,102,0.3627450980392157
majority,3,73,0.3613861386138614,stride_15s,boundary_pm_2s,202,0.3613861386138614
majority,3,194,0.3884462151394422,stride_15s,boundary_pm_5s,502,0.38645418326693226
majority,3,193,0.5173333333333333,stride_15s,start_0_5s,375,0.5146666666666667
majority,3,404,0.3232,stride_15s,middle_5_25s,1250,0.3232
majority,3,0,0.0,stride_15s,end_25_30s,250,0.0
center,3,776,0.4144,stride_15s,overall,1875,0.41386666666666666
center,3,43,0.86,stride_15s,boundary_pm_0.5s,50,0.86
center,3,78,0.7647058823529411,stride_15s,boundary_pm_1s,102,0.7647058823529411
center,3,158,0.7821782178217822,stride_15s,boundary_pm_2s,202,0.7821782178217822
center,3,405,0.8087649402390438,stride_15s,boundary_pm_5s,502,0.8067729083665338
center,3,193,0.5173333333333333,stride_15s,start_0_5s,375,0.5146666666666667
center,3,372,0.2976,stride_15s,middle_5_25s,1250,0.2976
center,3,211,0.844,stride_15s,end_25_30s,250,0.844
first,3,870,0.4650666666666667,stride_5s,overall,1875,0.464
first,3,24,0.48,stride_5s,boundary_pm_0.5s,50,0.48
first,3,45,0.4411764705882353,stride_5s,boundary_pm_1s,102,0.4411764705882353
first,3,86,0.42574257425742573,stride_5s,boundary_pm_2s,202,0.42574257425742573
first,3,226,0.450199203187251,stride_5s,boundary_pm_5s,502,0.450199203187251
first,3,225,0.6,stride_5s,start_0_5s,375,0.6
first,3,645,0.5176,stride_5s,middle_5_25s,1250,0.516
first,3,0,0.0,stride_5s,end_25_30s,250,0.0
majority,3,922,0.4922666666666667,stride_5s,overall,1875,0.49173333333333336
majority,3,34,0.68,stride_5s,boundary_pm_0.5s,50,0.68
majority,3,56,0.5490196078431373,stride_5s,boundary_pm_1s,102,0.5490196078431373
majority,3,111,0.5495049504950495,stride_5s,boundary_pm_2s,202,0.5495049504950495
majority,3,292,0.5816733067729084,stride_5s,boundary_pm_5s,502,0.5816733067729084
majority,3,174,0.464,stride_5s,start_0_5s,375,0.464
majority,3,631,0.5056,stride_5s,middle_5_25s,1250,0.5048
majority,3,117,0.468,stride_5s,end_25_30s,250,0.468
center,3,1011,0.5402666666666667,stride_5s,overall,1875,0.5392
center,3,43,0.86,stride_5s,boundary_pm_0.5s,50,0.86
center,3,78,0.7647058823529411,stride_5s,boundary_pm_1s,102,0.7647058823529411
center,3,158,0.7821782178217822,stride_5s,boundary_pm_2s,202,0.7821782178217822
center,3,397,0.7928286852589641,stride_5s,boundary_pm_5s,502,0.7908366533864541
center,3,188,0.504,stride_5s,start_0_5s,375,0.5013333333333333
center,3,615,0.4928,stride_5s,middle_5_25s,1250,0.492
center,3,208,0.832,stride_5s,end_25_30s,250,0.832
first,3,481,0.3652830188679245,stride_1s,overall,1325,0.3630188679245283
first,3,12,0.48,stride_1s,boundary_pm_0.5s,25,0.48
first,3,21,0.4117647058823529,stride_1s,boundary_pm_1s,51,0.4117647058823529
first,3,43,0.42574257425742573,stride_1s,boundary_pm_2s,101,0.42574257425742573
first,3,106,0.42231075697211157,stride_1s,boundary_pm_5s,251,0.42231075697211157
first,3,105,0.42,stride_1s,start_0_5s,250,0.42
first,3,376,0.3989473684210526,stride_1s,middle_5_25s,950,0.3957894736842105
first,3,0,0.0,stride_1s,end_25_30s,125,0.0
majority,3,715,0.5426415094339623,stride_1s,overall,1325,0.539622641509434
majority,3,16,0.64,stride_1s,boundary_pm_0.5s,25,0.64
majority,3,34,0.6666666666666666,stride_1s,boundary_pm_1s,51,0.6666666666666666
majority,3,69,0.6831683168316832,stride_1s,boundary_pm_2s,101,0.6831683168316832
majority,3,165,0.6613545816733067,stride_1s,boundary_pm_5s,251,0.6573705179282868
majority,3,81,0.324,stride_1s,start_0_5s,250,0.324
majority,3,544,0.5757894736842105,stride_1s,middle_5_25s,950,0.5726315789473684
majority,3,90,0.728,stride_1s,end_25_30s,125,0.72
center,3,714,0.5411320754716981,stride_1s,overall,1325,0.5388679245283019
center,3,20,0.8,stride_1s,boundary_pm_0.5s,25,0.8
center,3,42,0.8235294117647058,stride_1s,boundary_pm_1s,51,0.8235294117647058
center,3,80,0.7920792079207921,stride_1s,boundary_pm_2s,101,0.7920792079207921
center,3,185,0.7370517928286853,stride_1s,boundary_pm_5s,251,0.7370517928286853
center,3,82,0.328,stride_1s,start_0_5s,250,0.328
center,3,529,0.56,stride_1s,middle_5_25s,950,0.5568421052631579
center,3,103,0.824,stride_1s,end_25_30s,125,0.824
first,4,623,0.33226666666666665,stride_15s,overall,1875,0.33226666666666665
first,4,24,0.48,stride_15s,boundary_pm_0.5s,50,0.48
first,4,38,0.37254901960784315,stride_15s,boundary_pm_1s,102,0.37254901960784315
first,4,78,0.38613861386138615,stride_15s,boundary_pm_2s,202,0.38613861386138615
first,4,198,0.3944223107569721,stride_15s,boundary_pm_5s,502,0.3944223107569721
first,4,196,0.5226666666666666,stride_15s,start_0_5s,375,0.5226666666666666
first,4,427,0.3416,stride_15s,middle_5_25s,1250,0.3416
first,4,0,0.0,stride_15s,end_25_30s,250,0.0
majority,4,623,0.33226666666666665,stride_15s,overall,1875,0.33226666666666665
majority,4,24,0.48,stride_15s,boundary_pm_0.5s,50,0.48
majority,4,38,0.37254901960784315,stride_15s,boundary_pm_1s,102,0.37254901960784315
majority,4,78,0.38613861386138615,stride_15s,boundary_pm_2s,202,0.38613861386138615
majority,4,198,0.3944223107569721,stride_15s,boundary_pm_5s,502,0.3944223107569721
majority,4,196,0.5226666666666666,stride_15s,start_0_5s,375,0.5226666666666666
majority,4,427,0.3416,stride_15s,middle_5_25s,1250,0.3416
majority,4,0,0.0,stride_15s,end_25_30s,250,0.0
center,4,767,0.4096,stride_15s,overall,1875,0.4090666666666667
center,4,42,0.84,stride_15s,boundary_pm_0.5s,50,0.84
center,4,77,0.7549019607843137,stride_15s,boundary_pm_1s,102,0.7549019607843137
center,4,164,0.8118811881188119,stride_15s,boundary_pm_2s,202,0.8118811881188119
center,4,418,0.8346613545816733,stride_15s,boundary_pm_5s,502,0.8326693227091634
center,4,196,0.5226666666666666,stride_15s,start_0_5s,375,0.5226666666666666
center,4,351,0.2808,stride_15s,middle_5_25s,1250,0.2808
center,4,220,0.884,stride_15s,end_25_30s,250,0.88
first,4,862,0.4624,stride_5s,overall,1875,0.4597333333333333
first,4,22,0.44,stride_5s,boundary_pm_0.5s,50,0.44
first,4,44,0.43137254901960786,stride_5s,boundary_pm_1s,102,0.43137254901960786
first,4,87,0.44554455445544555,stride_5s,boundary_pm_2s,202,0.4306930693069307
first,4,216,0.4402390438247012,stride_5s,boundary_pm_5s,502,0.4302788844621514
first,4,214,0.584,stride_5s,start_0_5s,375,0.5706666666666667
first,4,648,0.5184,stride_5s,middle_5_25s,1250,0.5184
first,4,0,0.0,stride_5s,end_25_30s,250,0.0
majority,4,862,0.46186666666666665,stride_5s,overall,1875,0.4597333333333333
majority,4,32,0.64,stride_5s,boundary_pm_0.5s,50,0.64
majority,4,50,0.49019607843137253,stride_5s,boundary_pm_1s,102,0.49019607843137253
majority,4,93,0.4752475247524752,stride_5s,boundary_pm_2s,202,0.4603960396039604
majority,4,239,0.48406374501992033,stride_5s,boundary_pm_5s,502,0.4760956175298805
majority,4,162,0.44266666666666665,stride_5s,start_0_5s,375,0.432
majority,4,625,0.5,stride_5s,middle_5_25s,1250,0.5
majority,4,75,0.3,stride_5s,end_25_30s,250,0.3
center,4,1034,0.5514666666666667,stride_5s,overall,1875,0.5514666666666667
center,4,42,0.84,stride_5s,boundary_pm_0.5s,50,0.84
center,4,77,0.7549019607843137,stride_5s,boundary_pm_1s,102,0.7549019607843137
center,4,164,0.8118811881188119,stride_5s,boundary_pm_2s,202,0.8118811881188119
center,4,411,0.8187250996015937,stride_5s,boundary_pm_5s,502,0.8187250996015937
center,4,191,0.5093333333333333,stride_5s,start_0_5s,375,0.5093333333333333
center,4,625,0.5,stride_5s,middle_5_25s,1250,0.5
center,4,218,0.872,stride_5s,end_25_30s,250,0.872
first,4,462,0.34867924528301886,stride_1s,overall,1325,0.34867924528301886
first,4,11,0.44,stride_1s,boundary_pm_0.5s,25,0.44
first,4,19,0.37254901960784315,stride_1s,boundary_pm_1s,51,0.37254901960784315
first,4,37,0.36633663366336633,stride_1s,boundary_pm_2s,101,0.36633663366336633
first,4,94,0.3745019920318725,stride_1s,boundary_pm_5s,251,0.3745019920318725
first,4,93,0.372,stride_1s,start_0_5s,250,0.372
first,4,369,0.38842105263157894,stride_1s,middle_5_25s,950,0.38842105263157894
first,4,0,0.0,stride_1s,end_25_30s,125,0.0
majority,4,718,0.5426415094339623,stride_1s,overall,1325,0.5418867924528302
majority,4,20,0.8,stride_1s,boundary_pm_0.5s,25,0.8
majority,4,34,0.6666666666666666,stride_1s,boundary_pm_1s,51,0.6666666666666666
majority,4,64,0.6336633663366337,stride_1s,boundary_pm_2s,101,0.6336633663366337
majority,4,162,0.649402390438247,stride_1s,boundary_pm_5s,251,0.6454183266932271
majority,4,69,0.276,stride_1s,start_0_5s,250,0.276
majority,4,550,0.5789473684210527,stride_1s,middle_5_25s,950,0.5789473684210527
majority,4,99,0.8,stride_1s,end_25_30s,125,0.792
center,4,735,0.5554716981132075,stride_1s,overall,1325,0.5547169811320755
center,4,23,0.92,stride_1s,boundary_pm_0.5s,25,0.92
center,4,40,0.7843137254901961,stride_1s,boundary_pm_1s,51,0.7843137254901961
center,4,79,0.7821782178217822,stride_1s,boundary_pm_2s,101,0.7821782178217822
center,4,180,0.7211155378486056,stride_1s,boundary_pm_5s,251,0.7171314741035857
center,4,69,0.276,stride_1s,start_0_5s,250,0.276
center,4,556,0.5852631578947368,stride_1s,middle_5_25s,950,0.5852631578947368
center,4,110,0.888,stride_1s,end_25_30s,125,0.88
first,5,596,0.3178666666666667,stride_15s,overall,1875,0.3178666666666667
first,5,20,0.4,stride_15s,boundary_pm_0.5s,50,0.4
first,5,34,0.3333333333333333,stride_15s,boundary_pm_1s,102,0.3333333333333333
first,5,77,0.3811881188118812,stride_15s,boundary_pm_2s,202,0.3811881188118812
first,5,203,0.4043824701195219,stride_15s,boundary_pm_5s,502,0.4043824701195219
first,5,201,0.536,stride_15s,start_0_5s,375,0.536
first,5,395,0.316,stride_15s,middle_5_25s,1250,0.316
first,5,0,0.0,stride_15s,end_25_30s,250,0.0
majority,5,596,0.3178666666666667,stride_15s,overall,1875,0.3178666666666667
majority,5,20,0.4,stride_15s,boundary_pm_0.5s,50,0.4
majority,5,34,0.3333333333333333,stride_15s,boundary_pm_1s,102,0.3333333333333333
majority,5,77,0.3811881188118812,stride_15s,boundary_pm_2s,202,0.3811881188118812
majority,5,203,0.4043824701195219,stride_15s,boundary_pm_5s,502,0.4043824701195219
majority,5,201,0.536,stride_15s,start_0_5s,375,0.536
majority,5,395,0.316,stride_15s,middle_5_25s,1250,0.316
majority,5,0,0.0,stride_15s,end_25_30s,250,0.0
center,5,771,0.4112,stride_15s,overall,1875,0.4112
center,5,37,0.74,stride_15s,boundary_pm_0.5s,50,0.74
center,5,72,0.7058823529411765,stride_15s,boundary_pm_1s,102,0.7058823529411765
