aggregation,audio_index,distance_bin,edit_distance,mismatch_rate,policy,tokens,ued
majority,9,1-2s,45,0.45,stride_5s,100,0.45
majority,9,2-5s,139,0.4633333333333333,stride_5s,300,0.4633333333333333
majority,9,5-15s,606,0.607,stride_5s,1000,0.606
center,9,0-0.5s,45,0.9,stride_5s,50,0.9
center,9,0.5-1s,45,0.9375,stride_5s,48,0.9375
center,9,1-2s,81,0.81,stride_5s,100,0.81
center,9,2-5s,220,0.74,stride_5s,300,0.7333333333333333
center,9,5-15s,642,0.643,stride_5s,1000,0.642
first,9,0-0.5s,13,0.52,stride_1s,25,0.52
first,9,0.5-1s,11,0.4583333333333333,stride_1s,24,0.4583333333333333
first,9,1-2s,24,0.48,stride_1s,50,0.48
first,9,2-5s,55,0.37333333333333335,stride_1s,150,0.36666666666666664
first,9,5-15s,393,0.5622317596566524,stride_1s,699,0.5622317596566524
majority,9,0-0.5s,20,0.8,stride_1s,25,0.8
majority,9,0.5-1s,19,0.7916666666666666,stride_1s,24,0.7916666666666666
majority,9,1-2s,38,0.76,stride_1s,50,0.76
majority,9,2-5s,82,0.5466666666666666,stride_1s,150,0.5466666666666666
majority,9,5-15s,507,0.7253218884120172,stride_1s,699,0.7253218884120172
center,9,0-0.5s,21,0.84,stride_1s,25,0.84
center,9,0.5-1s,23,1.0,stride_1s,24,0.9583333333333334
center,9,1-2s,37,0.74,stride_1s,50,0.74
center,9,2-5s,98,0.6533333333333333,stride_1s,150,0.6533333333333333
center,9,5-15s,562,0.8054363376251789,stride_1s,699,0.804005722460658
