bitrate_bps,bits_per_token,clean_tokens,duration_seconds,item,noisy_tokens,nued,token_rate_hz,ued,vocab_size
325.0,13.0,750,30.0,fleurs_fr_dev100:0,750,0.009025641025641025,25.0,0.11733333333333333,8192
325.0,13.0,750,30.0,fleurs_fr_dev100:1,750,0.013025641025641025,25.0,0.16933333333333334,8192
325.0,13.0,750,30.0,cv21_zh_dev100:0,750,0.008307692307692308,25.0,0.108,8192
325.0,13.0,750,30.0,cv21_zh_dev100:1,750,0.017435897435897435,25.0,0.22666666666666666,8192
