clean_tokens,corrupt_tokens,corruption,corruption_type,duration_seconds,intensity,item,language,nued,snr_db,source,ued
168,168,gaussian_25db,gaussian,6.72,,fleurs_fr_dev100:44,fr,0.009615384615384616,25,fleurs_fr_dev100,0.125
200,200,gaussian_25db,gaussian,7.98,,fleurs_fr_dev100:45,fr,0.02076923076923077,25,fleurs_fr_dev100,0.27
116,116,gaussian_25db,gaussian,4.62,,fleurs_fr_dev100:46,fr,0.016578249336870025,25,fleurs_fr_dev100,0.21551724137931033
270,270,gaussian_25db,gaussian,10.8,,fleurs_fr_dev100:47,fr,0.01339031339031339,25,fleurs_fr_dev100,0.17407407407407408
200,200,gaussian_25db,gaussian,7.98,,fleurs_fr_dev100:48,fr,0.020384615384615386,25,fleurs_fr_dev100,0.265
245,245,gaussian_25db,gaussian,9.78,,fleurs_fr_dev100:49,fr,0.024803767660910518,25,fleurs_fr_dev100,0.3224489795918367
189,189,gaussian_25db,gaussian,7.56,,fleurs_fr_dev100:50,fr,0.02279202279202279,25,fleurs_fr_dev100,0.2962962962962963
294,294,gaussian_25db,gaussian,11.76,,fleurs_fr_dev100:51,fr,0.013867085295656724,25,fleurs_fr_dev100,0.18027210884353742
186,186,gaussian_25db,gaussian,7.44,,fleurs_fr_dev100:52,fr,0.013234077750206784,25,fleurs_fr_dev100,0.17204301075268819
263,263,gaussian_25db,gaussian,10.5,,fleurs_fr_dev100:53,fr,0.029540801403919275,25,fleurs_fr_dev100,0.3840304182509506
200,200,gaussian_25db,gaussian,7.98,,fleurs_fr_dev100:54,fr,0.02076923076923077,25,fleurs_fr_dev100,0.27
281,281,gaussian_25db,gaussian,11.22,,fleurs_fr_dev100:55,fr,0.016698603887215988,25,fleurs_fr_dev100,0.21708185053380782
362,362,gaussian_25db,gaussian,14.46,,fleurs_fr_dev100:56,fr,0.039099022524436894,25,fleurs_fr_dev100,0.5082872928176796
344,344,gaussian_25db,gaussian,13.74,,fleurs_fr_dev100:57,fr,0.034436493738819324,25,fleurs_fr_dev100,0.4476744186046512
306,306,gaussian_25db,gaussian,12.24,,fleurs_fr_dev100:58,fr,0.02262443438914027,25,fleurs_fr_dev100,0.29411764705882354
239,239,gaussian_25db,gaussian,9.54,,fleurs_fr_dev100:59,fr,0.011264885741873188,25,fleurs_fr_dev100,0.14644351464435146
207,207,gaussian_25db,gaussian,8.28,,fleurs_fr_dev100:60,fr,0.024526198439241916,25,fleurs_fr_dev100,0.3188405797101449
296,296,gaussian_25db,gaussian,11.82,,fleurs_fr_dev100:61,fr,0.013773388773388774,25,fleurs_fr_dev100,0.17905405405405406
246,246,gaussian_25db,gaussian,9.84,,fleurs_fr_dev100:62,fr,0.01813633520950594,25,fleurs_fr_dev100,0.23577235772357724
234,234,gaussian_25db,gaussian,9.36,,fleurs_fr_dev100:63,fr,0.01183431952662722,25,fleurs_fr_dev100,0.15384615384615385
