aggregation,audio_index,commit_latency_seconds,coverage_vs_reference,edit_distance,mismatch_rate,policy,reference,tokens,ued
edge_entropy,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
edge_voter_entropy,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
edge_voter_entropy,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
hidden_mean,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
hidden_mean,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
hidden_edge,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
hidden_edge,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
hidden_edge_voter,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
hidden_edge_voter,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
first,2,3.0,0.64,912,0.7616666666666667,stride_1s,nonoverlap_majority,1200,0.76
first,2,3.0,0.64,937,0.7816666666666666,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7808333333333334
majority,2,3.0,0.64,905,0.7558333333333334,stride_1s,nonoverlap_majority,1200,0.7541666666666667
majority,2,3.0,0.64,913,0.7608333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7608333333333334
center,2,3.0,0.64,987,0.8283333333333334,stride_1s,nonoverlap_majority,1200,0.8225
center,2,3.0,0.64,911,0.7616666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7591666666666667
edge_weighted,2,3.0,0.64,987,0.8283333333333334,stride_1s,nonoverlap_majority,1200,0.8225
edge_weighted,2,3.0,0.64,911,0.7616666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7591666666666667
voter_margin,2,3.0,0.64,934,0.7825,stride_1s,nonoverlap_majority,1200,0.7783333333333333
voter_margin,2,3.0,0.64,904,0.7566666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7533333333333333
entropy_weighted,2,3.0,0.64,940,0.7858333333333334,stride_1s,nonoverlap_majority,1200,0.7833333333333333
entropy_weighted,2,3.0,0.64,891,0.7458333333333333,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7425
edge_voter,2,3.0,0.64,987,0.8283333333333334,stride_1s,nonoverlap_majority,1200,0.8225
edge_voter,2,3.0,0.64,910,0.7608333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7583333333333333
edge_entropy,2,3.0,0.64,987,0.8283333333333334,stride_1s,nonoverlap_majority,1200,0.8225
edge_entropy,2,3.0,0.64,910,0.7608333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7583333333333333
edge_voter_entropy,2,3.0,0.64,987,0.8283333333333334,stride_1s,nonoverlap_majority,1200,0.8225
edge_voter_entropy,2,3.0,0.64,910,0.7608333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7583333333333333
hidden_mean,2,3.0,0.64,940,0.7858333333333334,stride_1s,nonoverlap_majority,1200,0.7833333333333333
hidden_mean,2,3.0,0.64,884,0.74,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7366666666666667
