variant,num_voters,augmentation,consensus_loss_weight,train_runtime_s,train_loss,final_loss,clean_unique_token_rate,clean_unique_tokens,gaussian_25db_ued,pink_20db_ued,bit_crush_10bit_ued,mean_noise_ued,mean_all_ued,mean_all_ued_delta_vs_single_clean,clean_unique_rate_delta_vs_single_clean
single_clean,1,False,0.0,1940.2352,-2.9024240560531616,-4.684,0.74755859375,6124,0.8508266666666667,0.8457333333333333,0.44522666666666666,0.84828,0.7139288888888888,0.0,0.0
single_aug,1,True,0.0,1977.991,-2.9630175952911375,-4.6965,0.728515625,5968,0.8333333333333333,0.8325866666666667,0.39466666666666667,0.8329599999999999,0.6868622222222222,-0.027066666666666683,-0.01904296875
multi_clean_no_consensus,5,False,0.0,2016.4814,-2.923678855895996,-4.7713,0.7982177734375,6539,0.91608,0.9135466666666667,0.5942666666666666,0.9148133333333334,0.8079644444444445,0.09403555555555565,0.0506591796875
multi_aug_no_consensus,5,True,0.0,2196.0789,-2.9201796112060547,-4.7802,0.8184814453125,6705,0.9125866666666665,0.9084533333333333,0.5719466666666667,0.91052,0.7976622222222223,0.08373333333333344,0.0709228515625
multi_aug_consensus,5,True,0.25,2162.0786,-2.7280378684997557,-4.7764,0.7945556640625,6509,0.9115733333333335,0.9038133333333334,0.5756266666666667,0.9076933333333335,0.7970044444444445,0.08307555555555568,0.0469970703125
