clean_tokens,corrupt_tokens,corruption,corruption_type,duration_seconds,intensity,item,language,nued,snr_db,source,ued
120,120,clipping_0p50,clipping,4.776,0.5,cv21_zh_dev100:1,zh,0.008974358974358974,,cv21_zh_dev100,0.11666666666666667
158,158,clipping_0p50,clipping,6.288,0.5,cv21_zh_dev100:2,zh,0.0024342745861733205,,cv21_zh_dev100,0.03164556962025317
179,179,clipping_0p50,clipping,7.128,0.5,cv21_zh_dev100:3,zh,0.006016330038676408,,cv21_zh_dev100,0.0782122905027933
114,114,clipping_0p50,clipping,4.56,0.5,cv21_zh_dev100:4,zh,0.0020242914979757085,,cv21_zh_dev100,0.02631578947368421
362,362,dropout_5pct,dropout,14.46,,fleurs_fr_dev100:0,fr,0.01827454313642159,,fleurs_fr_dev100,0.23756906077348067
150,150,dropout_5pct,dropout,6.0,,fleurs_fr_dev100:1,fr,0.0005128205128205128,,fleurs_fr_dev100,0.006666666666666667
384,384,dropout_5pct,dropout,15.36,,fleurs_fr_dev100:2,fr,0.019431089743589744,,fleurs_fr_dev100,0.2526041666666667
197,197,dropout_5pct,dropout,7.86,,fleurs_fr_dev100:3,fr,0.01600937133932058,,fleurs_fr_dev100,0.20812182741116753
213,213,dropout_5pct,dropout,8.52,,fleurs_fr_dev100:4,fr,0.0061394005055976884,,fleurs_fr_dev100,0.07981220657276995
124,124,dropout_5pct,dropout,4.944,,cv21_zh_dev100:0,zh,0.0006203473945409429,,cv21_zh_dev100,0.008064516129032258
120,120,dropout_5pct,dropout,4.776,,cv21_zh_dev100:1,zh,0.055769230769230765,,cv21_zh_dev100,0.725
158,158,dropout_5pct,dropout,6.288,,cv21_zh_dev100:2,zh,0.008763388510223954,,cv21_zh_dev100,0.11392405063291139
179,179,dropout_5pct,dropout,7.128,,cv21_zh_dev100:3,zh,0.007735281478298239,,cv21_zh_dev100,0.1005586592178771
114,114,dropout_5pct,dropout,4.56,,cv21_zh_dev100:4,zh,0.006072874493927126,,cv21_zh_dev100,0.07894736842105263
362,362,telephone_bandpass,telephone_bandpass,14.46,,fleurs_fr_dev100:0,fr,0.019549511262218447,,fleurs_fr_dev100,0.2541436464088398
150,150,telephone_bandpass,telephone_bandpass,6.0,,fleurs_fr_dev100:1,fr,0.028205128205128202,,fleurs_fr_dev100,0.36666666666666664
384,384,telephone_bandpass,telephone_bandpass,15.36,,fleurs_fr_dev100:2,fr,0.015424679487179488,,fleurs_fr_dev100,0.20052083333333334
197,197,telephone_bandpass,telephone_bandpass,7.86,,fleurs_fr_dev100:3,fr,0.013666536509176104,,fleurs_fr_dev100,0.17766497461928935
213,213,telephone_bandpass,telephone_bandpass,8.52,,fleurs_fr_dev100:4,fr,0.009750812567713976,,fleurs_fr_dev100,0.1267605633802817
124,124,telephone_bandpass,telephone_bandpass,4.944,,cv21_zh_dev100:0,zh,0.011786600496277916,,cv21_zh_dev100,0.1532258064516129
120,120,telephone_bandpass,telephone_bandpass,4.776,,cv21_zh_dev100:1,zh,0.01282051282051282,,cv21_zh_dev100,0.16666666666666666
158,158,telephone_bandpass,telephone_bandpass,6.288,,cv21_zh_dev100:2,zh,0.008763388510223954,,cv21_zh_dev100,0.11392405063291139
179,179,telephone_bandpass,telephone_bandpass,7.128,,cv21_zh_dev100:3,zh,0.008594757198109152,,cv21_zh_dev100,0.11173184357541899
114,114,telephone_bandpass,telephone_bandpass,4.56,,cv21_zh_dev100:4,zh,0.0067476383265856945,,cv21_zh_dev100,0.08771929824561403
362,362,eq_tilt,eq_tilt,14.46,,fleurs_fr_dev100:0,fr,0.010412239694007648,,fleurs_fr_dev100,0.13535911602209943
150,150,eq_tilt,eq_tilt,6.0,,fleurs_fr_dev100:1,fr,0.01641025641025641,,fleurs_fr_dev100,0.21333333333333335
384,384,eq_tilt,eq_tilt,15.36,,fleurs_fr_dev100:2,fr,0.012620192307692308,,fleurs_fr_dev100,0.1640625
197,197,eq_tilt,eq_tilt,7.86,,fleurs_fr_dev100:3,fr,0.013666536509176104,,fleurs_fr_dev100,0.17766497461928935
213,213,eq_tilt,eq_tilt,8.52,,fleurs_fr_dev100:4,fr,0.005417118093174431,,fleurs_fr_dev100,0.07042253521126761
124,124,eq_tilt,eq_tilt,4.944,,cv21_zh_dev100:0,zh,0.006823821339950372,,cv21_zh_dev100,0.08870967741935484
120,120,eq_tilt,eq_tilt,4.776,,cv21_zh_dev100:1,zh,0.01282051282051282,,cv21_zh_dev100,0.16666666666666666
158,158,eq_tilt,eq_tilt,6.288,,cv21_zh_dev100:2,zh,0.0038948393378773127,,cv21_zh_dev100,0.05063291139240506
179,179,eq_tilt,eq_tilt,7.128,,cv21_zh_dev100:3,zh,0.010743446497636441,,cv21_zh_dev100,0.13966480446927373
114,114,eq_tilt,eq_tilt,4.56,,cv21_zh_dev100:4,zh,0.005398110661268556,,cv21_zh_dev100,0.07017543859649122
362,362,reverb_small_room,reverb,14.46,,fleurs_fr_dev100:0,fr,0.03059923501912452,,fleurs_fr_dev100,0.39779005524861877
150,150,reverb_small_room,reverb,6.0,,fleurs_fr_dev100:1,fr,0.05846153846153846,,fleurs_fr_dev100,0.76
384,384,reverb_small_room,reverb,15.36,,fleurs_fr_dev100:2,fr,0.026842948717948716,,fleurs_fr_dev100,0.3489583333333333
197,197,reverb_small_room,reverb,7.86,,fleurs_fr_dev100:3,fr,0.0324092151503319,,fleurs_fr_dev100,0.4213197969543147
213,213,reverb_small_room,reverb,8.52,,fleurs_fr_dev100:4,fr,0.014084507042253521,,fleurs_fr_dev100,0.18309859154929578
124,124,reverb_small_room,reverb,4.944,,cv21_zh_dev100:0,zh,0.012406947890818858,,cv21_zh_dev100,0.16129032258064516
120,120,reverb_small_room,reverb,4.776,,cv21_zh_dev100:1,zh,0.019230769230769232,,cv21_zh_dev100,0.25
158,158,reverb_small_room,reverb,6.288,,cv21_zh_dev100:2,zh,0.019961051606621226,,cv21_zh_dev100,0.25949367088607594
179,179,reverb_small_room,reverb,7.128,,cv21_zh_dev100:3,zh,0.028792436613665665,,cv21_zh_dev100,0.3743016759776536
114,114,reverb_small_room,reverb,4.56,,cv21_zh_dev100:4,zh,0.006072874493927126,,cv21_zh_dev100,0.07894736842105263
362,362,competing_speech_16db,competing_speech,14.46,,fleurs_fr_dev100:0,fr,0.03144921376965576,16,fleurs_fr_dev100,0.4088397790055249
150,150,competing_speech_16db,competing_speech,6.0,,fleurs_fr_dev100:1,fr,0.041025641025641026,16,fleurs_fr_dev100,0.5333333333333333
384,384,competing_speech_16db,competing_speech,15.36,,fleurs_fr_dev100:2,fr,0.020833333333333332,16,fleurs_fr_dev100,0.2708333333333333
197,197,competing_speech_16db,competing_speech,7.86,,fleurs_fr_dev100:3,fr,0.001561889886762983,16,fleurs_fr_dev100,0.02030456852791878
213,213,competing_speech_16db,competing_speech,8.52,,fleurs_fr_dev100:4,fr,0.043698085951607075,16,fleurs_fr_dev100,0.568075117370892
124,124,competing_speech_16db,competing_speech,4.944,,cv21_zh_dev100:0,zh,0.011786600496277916,16,cv21_zh_dev100,0.1532258064516129
120,120,competing_speech_16db,competing_speech,4.776,,cv21_zh_dev100:1,zh,0.041666666666666664,16,cv21_zh_dev100,0.5416666666666666
158,158,competing_speech_16db,competing_speech,6.288,,cv21_zh_dev100:2,zh,0.018500486854917234,16,cv21_zh_dev100,0.24050632911392406
179,179,competing_speech_16db,competing_speech,7.128,,cv21_zh_dev100:3,zh,0.01675977653631285,16,cv21_zh_dev100,0.21787709497206703
114,114,competing_speech_16db,competing_speech,4.56,,cv21_zh_dev100:4,zh,0.0006747638326585695,16,cv21_zh_dev100,0.008771929824561403
